imdbID,Rated,Language,Country,Major_Awards,Metascore_binned,Box_office_binned
tt4425200,R,Multilingual/Foreign,Hong Kong,0,high,N/A
tt4434004,R,Multilingual/Foreign,India,0,N/A,N/A
tt0446029,T,English,USA,0,high,100Mil
tt4468740,T,English,UK,1,high,N/A
tt0448115,T,Multilingual/Foreign,USA,0,high,N/A
tt0449059,R,English,USA,1,high,100Mil
tt0451279,T,Multilingual/Foreign,USA,0,high,N/A
tt0453729,Not Rated,Hindi,India,0,N/A,N/A
tt4540710,R,English,France,1,mid,10Mil
tt0454876,T,Multilingual/Foreign,USA,1,high,500Mil
tt4550098,R,English,USA,1,high,100Mil
tt0456144,T,Hindi,India,0,N/A,N/A
tt0458352,T,Multilingual/Foreign,USA,1,mid,500Mil
tt4633694,T,Multilingual/Foreign,USA,1,high,N/A
tt4635372,Not Rated,Hindi,India,0,N/A,N/A
tt0466460,Not Rated,Hindi,India,0,N/A,N/A
tt0468569,T,Multilingual/Foreign,USA,1,high,
tt0470752,R,English,UK,1,high,100Mil
tt0477348,R,Multilingual/Foreign,USA,1,high,100Mil
tt0482571,T,English,USA,1,mid,100Mil
tt0048473,Not Rated,Multilingual/Foreign,India,1,N/A,N/A
tt4875844,Not Rated,English,USA,0,N/A,N/A
tt0048956,Not Rated,Multilingual/Foreign,India,1,N/A,N/A
tt4900716,Not Rated,Hindi,India,0,N/A,N/A
tt4925292,R,Multilingual/Foreign,USA,1,high,N/A
tt0493949,G,English,USA,0,mid,100Mil
tt4975722,R,English,USA,1,high,100Mil
tt0499549,T,Multilingual/Foreign,USA,1,high,
tt5013056,T,Multilingual/Foreign,UK,1,high,N/A
tt5027774,R,English,UK,1,high,100Mil
tt5052448,R,English,USA,1,high,500Mil
tt5074352,Not Rated,Multilingual/Foreign,India,0,N/A,100Mil
tt5083738,R,English,Ireland,1,high,N/A
tt0050870,Not Rated,Hindi,India,0,N/A,N/A
tt5104604,T,Multilingual/Foreign,Germany,1,high,N/A
tt5164432,T,Multilingual/Foreign,USA,0,high,N/A
tt0051792,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt0052357,T,English,USA,1,high,N/A
tt0052572,Not Rated,Multilingual/Foreign,India,1,N/A,N/A
tt5278460,Not Rated,English,USA,0,high,N/A
tt5286444,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt0052954,Not Rated,Hindi,India,0,N/A,N/A
tt5311514,T,Multilingual/Foreign,Japan,0,high,10Mil
tt5461944,R,Multilingual/Foreign,Australia,0,mid,N/A
tt5462602,R,Multilingual/Foreign,USA,1,high,100Mil
tt5571734,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt5649144,R,Multilingual/Foreign,USA,1,high,N/A
tt0057012,T,Multilingual/Foreign,UK,1,high,N/A
tt5726616,R,Multilingual/Foreign,Italy,1,high,N/A
tt5764096,Not Rated,Hindi,India,0,N/A,N/A
tt5884052,T,English,USA,0,mid,N/A
tt5935704,Not Rated,Multilingual/Foreign,India,0,mid,N/A
tt5952332,R,Multilingual/Foreign,Denmark,1,high,N/A
tt0059742,G,Multilingual/Foreign,USA,1,mid,N/A
tt5982852,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt6146586,R,Multilingual/Foreign,USA,0,high,N/A
tt6155172,R,Multilingual/Foreign,USA,1,high,N/A
tt0061722,T,English,USA,1,high,N/A
tt6206564,Not Rated,Hindi,India,0,N/A,1Mil
tt0062622,G,Multilingual/Foreign,USA,1,high,1Mil
tt6452574,R,Multilingual/Foreign,India,0,N/A,N/A
tt6484982,Not Rated,Hindi,India,0,N/A,N/A
tt6543652,R,Multilingual/Foreign,Poland,1,high,N/A
tt6580564,T,Hindi,India,0,N/A,N/A
tt6588966,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt6644200,T,Multilingual/Foreign,USA,1,high,N/A
tt0066763,Not Rated,Hindi,India,0,N/A,N/A
tt0067334,Not Rated,Multilingual/Foreign,USA,0,mid,N/A
tt6751668,R,Multilingual/Foreign,South Korea,1,high,N/A
tt6789386,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt0067992,G,Multilingual/Foreign,USA,1,high,10Mil
tt6859352,R,English,USA,0,high,N/A
tt6923462,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt6966692,T,Multilingual/Foreign,USA,1,high,N/A
tt6967980,Not Rated,Hindi,India,0,N/A,N/A
tt6972140,Not Rated,Hindi,India,0,N/A,N/A
tt6981046,Not Rated,English,UK,0,N/A,N/A
tt7014006,R,English,USA,1,high,N/A
